1	250	-0.624175
1	249.303875	-0.544575
1	248.747525	-0.4821
1	248.018375	-0.40225
1	247.10855	-0.305525
1	246.0189	-0.193575
1	244.756325	-0.068975
1	243.32875	0.06565
1	241.7443	0.2074
1	240.010925	0.353325
1	238.136475	0.500425
1	236.128625	0.645525
1	233.995025	0.785275
1	231.74305	0.9161
1	229.38005	1.034125
1	226.91315	1.135175
1	224.3494	1.21475
1	221.695825	1.268075
1	218.9593	1.29035
1	216.146575	1.27695
1	213.2644	1.2236
1	210.319475	1.126925
1	207.31825	0.984375
1	204.267025	0.79465
1	201.17185	0.55785
1	198.03845	0.27515
1	194.872175	-0.050875
1	191.678	-0.416825
1	188.460525	-0.818575
1	185.223975	-1.2515
1	181.9723	-1.710725
1	178.70905	-2.19155
1	175.437725	-2.689375
1	172.1615	-3.19995
1	168.883475	-3.71945
1	165.6065	-4.2444
1	162.333425	-4.771725
1	159.066925	-5.2987
1	155.809575	-5.822875
1	152.5638	-6.341975
1	149.33195	-6.85405
1	146.11625	-7.3572
1	142.9188	-7.849725
1	139.741625	-8.33015
1	136.5866	-8.797075
1	133.4556	-9.249225
1	130.3503	-9.685575
1	127.27235	-10.1051
1	124.22325	-10.507025
1	121.204525	-10.890625
1	118.2175	-11.2553
1	115.263475	-11.600525
1	112.343625	-11.9258
1	109.459125	-12.23075
1	106.61095	-12.5149
1	103.800125	-12.77795
1	101.0275	-13.0196
1	98.29395	-13.239675
1	95.60025	-13.438125
1	92.947075	-13.614925
1	90.335125	-13.77035
1	87.76495	-13.904675
1	85.237125	-14.018375
1	82.752125	-14.111975
1	80.310375	-14.18615
1	77.9122	-14.2415
1	75.557975	-14.278825
1	73.24785	-14.298825
1	70.9821	-14.3023
1	68.76075	-14.290075
1	66.584	-14.262925
1	64.4518	-14.22165
1	62.364125	-14.167075
1	60.32095	-14.09995
1	58.32215	-14.021
1	56.367575	-13.93095
1	54.457075	-13.8304
1	52.590375	-13.720025
1	50.7673	-13.60035
1	48.9875	-13.471925
1	47.250725	-13.335275
1	45.556625	-13.1909
1	43.90485	-13.039275
1	42.295	-12.8809
1	40.7267	-12.71625
1	39.19955	-12.545875
1	37.713	-12.370225
1	36.26665	-12.189875
1	34.86	-12.005275
1	33.492525	-11.816975
1	32.163725	-11.62545
1	30.873	-11.431175
1	29.61985	-11.23455
1	28.403675	-11.036
1	27.22395	-10.835875
1	26.080075	-10.634475
1	24.97145	-10.432
1	23.89755	-10.22875
1	22.85775	-10.024875
1	21.85145	-9.820575
1	20.878125	-9.615925
1	19.9371	-9.4111
1	19.027825	-9.206225
1	18.149675	-9.001425
1	17.302075	-8.79685
1	16.4844	-8.5926
1	15.695975	-8.3889
1	14.9362	-8.18585
1	14.204425	-7.98375
1	13.49995	-7.78275
1	12.82215	-7.583125
1	12.1703	-7.385075
1	11.54375	-7.18885
1	10.941775	-6.9947
1	10.363725	-6.80285
